"Neighborhood","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","X2ndFlrSF","LowQualFinSF","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","YrSold","SaleType","SaleCondition","SalePrice","PercOfWhiteCollar","MedianIncome","CollegeDegree","Remod","Age","isnew","TotalSqFeet","TotBathrooms","TotalPorchSF"
"Sawyer","1-STORY 1946+","RL",70,11200,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,5,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,2,"CBlock",3,3,1,3,906,1,0,134,"GasA",4,1,"SBrkr",0,0,3,1,2,7,0,0,"Detchd",1,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,2008,"WD","Normal",129500,0.64,54928,0.87,0,43,0,2080,2,0
"NridgHt","2-STORY+","RL",85,11924,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",9,5,2005,"Hip","CompShg","WdShing","Wd Shng","Stone",286,2,"PConc",5,3,1,6,998,1,0,177,"GasA",4,1,"SBrkr",1142,0,4,1,4,7,2,4,"BuiltIn",3,3,3,3,2,147,21,0,0,0,0,0,"None","None",0,2006,"New","Partial",345000,0.75,105583,0.89,1,0,0,3499,4,21
"Sawyer","1-STORY 1946+","RL",71,12968,"Pave","None",1,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,6,1962,"Hip","CompShg","HdBoard","Plywood","None",0,2,"CBlock",3,3,1,5,737,1,0,175,"GasA",2,1,"SBrkr",0,0,2,1,2,7,0,0,"Detchd",1,1,3,3,2,140,0,0,0,176,0,0,"None","None",0,2008,"WD","Normal",144000,0.64,54928,0.87,0,46,0,1824,2,176
"CollgCr","1-STORY 1946+","RL",91,10652,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",7,5,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",306,2,"PConc",4,3,3,1,0,1,0,1494,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",2,3,3,3,2,160,33,0,0,0,0,0,"None","None",0,2007,"New","Partial",279500,0.91,39359,0.91,1,0,0,2988,2,33
"NAmes","1-STORY 1946+","RL",73,10920,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",6,5,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,2,"CBlock",3,3,1,4,733,1,0,520,"GasA",2,1,"SBrkr",0,0,2,1,2,7,1,2,"Attchd",2,1,3,3,2,0,213,176,0,0,0,0,"GdWo","None",0,2008,"WD","Normal",157000,0.75,47499,0.75,0,48,0,2506,2.5,389
"BrkSide","1/2 STORY Unf Attic","RM",51,6120,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1.5Unf",7,8,1929,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"BrkTil",3,3,1,1,0,1,0,832,"GasA",4,1,"FuseA",0,0,2,1,2,7,0,0,"Detchd",1,2,3,3,2,48,112,0,0,0,0,0,"GdPrv","None",0,2007,"WD","Normal",132000,0.74,46530,0.72,1,6,0,1686,1,112
"NAmes","1-STORY 1946+","RL",73,11241,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","1Story",6,7,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,2,"CBlock",3,3,1,5,578,1,0,426,"GasA",4,1,"SBrkr",0,0,2,1,2,7,1,3,"Attchd",3,2,3,3,2,0,0,0,0,0,0,0,"None","Shed",700,2010,"WD","Normal",149000,0.75,47499,0.75,0,40,0,2008,2,0
"Sawyer","DUPLEX","RL",72,10791,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","Duplex","1Story",4,5,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"Slab",0,0,0,0,0,0,0,0,"GasA",2,1,"SBrkr",0,0,2,2,2,7,0,0,"CarPort",1,2,3,3,2,0,0,0,0,0,0,0,"None","Shed",500,2006,"WD","Normal",90000,0.64,54928,0.87,0,39,0,1296,2,0
"SawyerW","1-STORY 1946+","RL",66,13695,"Pave","None",2,"Lvl","Inside",2,"RRAe","Norm","1Fam","1Story",5,5,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",3,3,1,6,646,1,0,468,"GasA",4,1,"SBrkr",0,0,3,1,3,7,0,0,"Detchd",1,2,3,3,2,0,102,0,0,0,0,0,"None","None",0,2008,"WD","Normal",159000,0.64,68542,0.73,0,4,0,2228,2.5,102
"NAmes","1-STORY 1946+","RL",70,7560,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,6,1958,"Hip","CompShg","BrkFace","Plywood","None",0,2,"CBlock",3,3,1,2,504,1,0,525,"GasA",2,1,"SBrkr",0,0,3,1,2,6,0,0,"Attchd",1,1,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,2009,"COD","Abnorml",139000,0.75,47499,0.75,1,44,0,2368,1,0
"NridgHt","2-STORY+","RL",101,14215,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","2Story",8,5,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,2,"PConc",5,3,3,1,0,1,0,1158,"GasA",4,1,"SBrkr",1218,0,4,1,3,7,1,4,"BuiltIn",2,3,3,3,2,240,154,0,0,0,0,0,"None","None",0,2006,"New","Partial",325300,0.75,105583,0.89,1,0,0,3534,3.5,154
"IDOTRR","1/2 STORY Unf Attic","RM",57,7449,"Pave","Grvl",2,"Bnk","Inside",2,"Norm","Norm","1Fam","1.5Unf",7,7,1930,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"PConc",3,3,1,1,0,1,0,637,"GasA",4,1,"FuseF",0,0,3,1,3,7,1,4,"Attchd",1,1,3,3,0,0,0,205,0,0,0,0,"GdPrv","None",0,2007,"WD","Normal",139400,0.62,39678,0.68,1,57,0,1745,1,205
"CollgCr","1-STORY 1946+","RL",75,9742,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",8,5,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,2,"PConc",4,3,1,1,0,1,0,1777,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",2,2,3,3,2,171,159,0,0,0,0,0,"None","None",0,2008,"WD","Normal",230000,0.91,39359,0.91,0,6,0,3572,2,159
"MeadowV","1-STORY PUD 1946+","RM",44,4224,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","TwnhsE","1Story",5,7,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,2,"PConc",4,3,1,6,840,1,0,200,"GasA",2,1,"SBrkr",0,0,3,1,2,7,1,3,"Attchd",1,2,3,3,2,100,110,0,0,0,0,0,"None","None",0,2007,"WD","Normal",129900,0.82,32965,0.83,0,31,0,2100,2,110
"Sawyer","1-STORY 1946+","RL",71,8246,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,8,1968,"Gable","CompShg","Plywood","Plywood","None",0,3,"CBlock",3,3,2,3,188,5,668,204,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,3,"Attchd",1,1,3,3,2,406,90,0,0,0,0,0,"MnPrv","None",0,2010,"WD","Normal",154000,0.64,54928,0.87,1,9,0,2120,2,90
"NridgHt","1-STORY 1946+","RL",110,14230,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",8,5,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,2,"PConc",4,3,1,1,0,1,0,1566,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",2,3,3,3,2,0,56,0,0,0,0,0,"None","None",0,2009,"WD","Normal",256300,0.75,105583,0.89,0,2,0,3166,2,56
"NAmes","1-STORY 1946+","RL",60,7200,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",5,7,1951,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"CBlock",3,3,2,4,234,3,486,180,"GasA",2,1,"SBrkr",0,0,3,1,3,7,0,0,"Detchd",1,2,3,3,2,222,32,0,0,0,0,0,"None","None",0,2010,"WD","Normal",134800,0.75,47499,0.75,1,10,0,1800,1.5,32
"NridgHt","1-STORY 1946+","RL",98,11478,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",8,5,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",200,2,"PConc",5,3,1,6,1218,1,0,486,"GasA",4,1,"SBrkr",0,0,3,1,3,7,1,4,"Attchd",2,3,3,3,2,0,50,0,0,0,0,0,"None","None",0,2010,"WD","Normal",306000,0.75,105583,0.89,1,2,0,3408,3,50
"NAmes","1-STORY 1946+","RL",47,16321,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","1Story",5,6,1957,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"CBlock",3,3,4,4,1277,1,0,207,"GasA",2,1,"SBrkr",0,0,2,1,2,7,2,4,"Attchd",2,1,3,3,2,288,258,0,0,0,0,0,"None","None",0,2006,"WD","Normal",207500,0.75,47499,0.75,1,9,0,3084,2,258
"BrkSide","1-STORY 1945-","RM",60,6324,"Pave","None",2,"Lvl","Inside",2,"Feedr","RRNn","1Fam","1Story",4,6,1927,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"BrkTil",3,3,1,1,0,1,0,520,"GasA",1,0,"SBrkr",0,0,1,1,1,7,0,0,"Detchd",1,1,2,3,2,49,0,87,0,0,0,0,"None","None",0,2008,"WD","Normal",68500,0.74,46530,0.72,1,58,0,1040,1,87
"IDOTRR","2-STORY 1945-","C (all)",50,8500,"Pave","Pave",2,"Lvl","Inside",2,"Feedr","Norm","1Fam","2Story",4,4,1920,"Gambrel","CompShg","BrkFace","BrkFace","None",0,1,"BrkTil",3,3,1,1,0,1,0,649,"GasA",2,0,"SBrkr",668,0,3,1,2,7,0,0,"Detchd",1,1,3,2,0,0,54,172,0,0,0,0,"MnPrv","None",0,2008,"WD","Normal",40000,0.62,39678,0.68,1,58,0,1966,1,226
"Sawyer","1-STORY 1946+","RL",71,8544,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","1Story",5,6,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"CBlock",3,3,1,1,0,1,0,1228,"GasA",3,1,"SBrkr",0,0,3,1,3,7,0,0,"Attchd",1,1,3,3,2,0,65,0,0,0,0,0,"MnPrv","None",0,2008,"WD","Normal",149350,0.64,54928,0.87,1,2,0,2456,1.5,65
"CollgCr","1-STORY 1946+","RL",85,11049,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",8,5,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",5,3,3,1,0,1,0,1234,"GasA",4,1,"SBrkr",0,0,3,1,3,7,0,0,"Attchd",2,2,3,3,2,0,30,0,0,0,0,0,"None","None",0,2008,"WD","Normal",179900,0.91,39359,0.91,0,1,0,2468,2,30
"NAmes","1-STORY 1946+","RL",70,10552,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,5,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,2,"CBlock",3,3,1,3,1018,1,0,380,"GasA",3,1,"SBrkr",0,0,4,1,3,7,1,4,"Attchd",2,2,3,3,2,0,38,0,0,0,0,0,"None","None",0,2010,"WD","Normal",165500,0.75,47499,0.75,0,51,0,3098,2,38
"NridgHt","1-STORY PUD 1946+","RL",60,7313,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","TwnhsE","1Story",9,5,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,2,"PConc",5,3,1,6,1153,1,0,408,"GasA",4,1,"SBrkr",0,0,2,1,4,7,1,4,"Attchd",3,2,3,3,2,203,47,0,0,0,0,0,"None","None",0,2007,"WD","Normal",277500,0.75,105583,0.89,0,2,0,3122,3,47
"NridgHt","2-STORY+","RL",108,13418,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","2Story",8,5,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",132,2,"PConc",5,3,3,1,0,1,0,1117,"GasA",4,1,"SBrkr",1320,0,4,1,3,7,1,4,"BuiltIn",3,3,3,3,2,113,32,0,0,0,0,0,"None","None",0,2006,"WD","Normal",309000,0.75,105583,0.89,1,1,0,3569,3.5,32
"CollgCr","1-STORY 1946+","RL",112,10859,"Pave","None",2,"Lvl","Corner",2,"Norm","Norm","1Fam","1Story",5,5,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,1,1,0,1,0,1097,"GasA",4,1,"SBrkr",0,0,3,1,2,7,0,0,"Attchd",1,2,3,3,2,392,64,0,0,0,0,0,"None","None",0,2009,"WD","Normal",145000,0.91,39359,0.91,1,14,0,2194,1.5,64
"NAmes","1-STORY 1946+","RL",74,8532,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,6,1954,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,2,"CBlock",3,3,1,3,1213,1,0,84,"GasA",3,1,"SBrkr",0,0,3,1,2,7,1,3,"Attchd",3,2,3,3,2,0,0,0,0,0,0,0,"None","None",0,2009,"WD","Normal",153000,0.75,47499,0.75,1,19,0,2594,1.5,0
"NAmes","1-STORY 1946+","RL",68,7922,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,7,1953,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",3,3,1,6,731,1,0,326,"GasA",2,1,"SBrkr",0,0,3,1,3,7,0,0,"Detchd",1,1,3,3,2,0,52,0,0,0,0,0,"None","None",0,2010,"WD","Abnorml",109000,0.75,47499,0.75,1,3,0,2114,2,52
"Edwards","DUPLEX","RL",65,6040,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","Duplex","1Story",4,5,1955,"Gable","CompShg","AsbShng","Plywood","None",0,2,"PConc",0,0,0,0,0,0,0,0,"GasA",2,0,"FuseP",0,0,2,2,1,7,0,0,"None",0,0,0,0,0,0,0,0,0,0,0,0,"None","None",0,2008,"WD","AdjLand",82000,0.61,46530,0.63,0,53,0,1152,2,0
"NAmes","1-STORY 1946+","RL",84,8658,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",6,5,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,2,"CBlock",3,3,1,3,643,1,0,445,"GasA",4,1,"SBrkr",0,0,3,1,2,7,1,3,"Attchd",2,2,3,3,2,0,138,0,0,0,0,0,"GdWo","None",0,2006,"WD","Abnorml",160000,0.75,47499,0.75,0,41,0,2412,2,138
"Timber","1-STORY 1946+","RL",115,16905,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,6,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",3,3,4,4,967,1,0,383,"GasA",3,1,"SBrkr",0,0,2,1,2,7,2,4,"Attchd",2,1,3,3,1,0,104,0,0,0,0,0,"None","None",0,2007,"WD","Normal",170000,0.71,85268,0.85,0,48,0,2678,2,104
"SawyerW","SPLIT FOYER","RL",66,9180,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","SFoyer",5,7,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"CBlock",4,3,3,5,747,2,93,0,"GasA",3,1,"SBrkr",0,0,2,1,3,7,0,0,"Attchd",2,2,3,4,2,240,0,0,0,0,0,0,"MnPrv","None",0,2007,"WD","Normal",144000,0.64,68542,0.73,0,24,0,1724,2,0
"CollgCr","1-STORY 1946+","RL",70,9200,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","1Story",5,6,1975,"Hip","CompShg","VinylSd","VinylSd","None",0,2,"CBlock",4,3,3,2,280,4,491,167,"GasA",2,1,"SBrkr",0,0,3,1,2,7,0,0,"Detchd",1,1,3,3,2,145,0,0,0,0,0,0,"MnPrv","None",0,2008,"WD","Normal",130250,0.91,39359,0.91,1,28,0,1876,2,0
"NAmes","1-STORY 1946+","RL",70,7945,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,6,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,2,"CBlock",3,3,1,5,179,4,506,465,"GasA",4,1,"FuseA",0,0,3,1,2,7,0,0,"Attchd",2,1,3,3,2,0,0,0,0,0,0,0,"None","None",0,2006,"WD","Normal",141000,0.75,47499,0.75,0,47,0,2300,2,0
"NridgHt","1-STORY PUD 1946+","RL",61,7658,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","TwnhsE","1Story",9,5,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,2,"PConc",5,3,1,6,456,1,0,1296,"GasA",4,1,"SBrkr",0,0,2,1,4,7,1,4,"Attchd",2,2,3,3,2,196,82,0,0,0,0,0,"None","None",0,2010,"WD","Normal",319900,0.75,105583,0.89,0,5,0,3504,3,82
"Mitchel","1/2 STORY Fin","RL",48,12822,"Pave","None",2,"Lvl","CulDSac",2,"Norm","Norm","1Fam","1.5Fin",7,5,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",5,3,1,6,1351,1,0,83,"GasA",4,1,"SBrkr",631,0,1,1,3,7,1,5,"Attchd",2,2,3,3,2,168,43,0,0,198,0,0,"None","None",0,2009,"WD","Abnorml",239686,0.75,73557,0.62,0,6,0,3583,2.5,241
"Somerst","1-STORY 1946+","FV",84,11096,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",8,5,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,3,6,24,1,0,1632,"GasA",4,1,"SBrkr",0,0,3,1,3,7,0,0,"Attchd",2,3,3,3,2,0,146,0,0,0,0,0,"None","None",0,2007,"WD","Normal",249700,0.75,95487,0.75,0,1,0,3312,2,146
"OldTown","190","RM",33,4456,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","2fmCon","2Story",4,5,1920,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"BrkTil",3,3,1,1,0,1,0,736,"GasA",3,1,"SBrkr",716,0,2,3,2,7,0,0,"None",0,0,0,0,0,0,0,102,0,0,0,0,"None","None",0,2009,"New","Partial",113000,0.84,41223,0.85,1,1,0,2188,2,102
"Sawyer","1-STORY 1946+","RL",66,7742,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1Story",5,7,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"CBlock",3,3,1,4,763,1,0,192,"GasA",4,1,"SBrkr",0,0,3,1,2,7,0,0,"Attchd",1,1,3,3,2,0,0,0,0,0,0,0,"MnPrv","None",0,2007,"WD","Normal",127000,0.64,54928,0.87,0,41,0,1910,2,0
"Gilbert","2-STORY+","RL",65,13869,"Pave","None",1,"Lvl","Corner",2,"Norm","Norm","1Fam","2Story",6,6,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"PConc",4,3,3,6,182,1,0,612,"GasA",3,1,"SBrkr",676,0,3,1,2,7,0,0,"Attchd",3,2,3,3,2,0,75,0,0,0,0,0,"None","None",0,2007,"WD","Normal",177000,0.55,82976,0.75,0,10,0,2264,2.5,75
"BrkSide","1/2 STORY Fin","RM",52,6240,"Pave","None",2,"Lvl","Inside",2,"Norm","Norm","1Fam","1.5Fin",6,6,1934,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"PConc",3,3,1,1,0,1,0,816,"GasA",2,1,"SBrkr",0,360,3,1,2,7,1,4,"Detchd",1,2,3,3,2,112,0,0,0,0,0,0,"MnPrv","Shed",400,2006,"WD","Normal",114500,0.74,46530,0.72,1,56,0,1992,1,0
"IDOTRR","DUPLEX","RM",110,8472,"Grvl","None",1,"Bnk","Corner",1,"RRNn","Norm","Duplex","1Story",5,5,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,"CBlock",4,3,4,2,104,6,712,0,"GasA",2,0,"SBrkr",0,0,2,1,2,7,0,0,"CarPort",1,2,3,3,2,106,0,0,0,0,0,0,"None","None",0,2010,"WD","Normal",110000,0.62,39678,0.68,0,47,0,1632,2,0
"Veenker","1-STORY 1946+","RL",68,50271,"Pave","None",2,"Low","Inside",2,"Norm","Norm","1Fam","1Story",9,5,1981,"Gable","WdShngl","WdShing","Wd Shng","None",0,2,"CBlock",5,3,4,6,1810,1,0,32,"GasA",3,1,"SBrkr",0,0,0,1,3,7,1,4,"Attchd",3,3,3,3,2,857,72,0,0,0,0,0,"None","None",0,2006,"WD","Normal",385000,0.75,85268,0.81,1,19,0,3684,2.5,72
"NAmes","SPLIT OR MULTI-LEVEL","RL",60,7134,"Pave","None",2,"Bnk","Inside",1,"Norm","Norm","1Fam","SLvl",5,5,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,2,"CBlock",3,3,1,5,384,1,0,0,"GasA",2,1,"SBrkr",0,0,3,1,2,6,1,3,"Detchd",1,2,3,3,2,0,50,0,0,0,0,0,"MnPrv","None",0,2007,"WD","Normal",130000,0.75,47499,0.75,0,52,0,1744,1,50
